K,hops,mode,trace_size,verify_time_us,budget_used
5,2,classic_lp,1,6.834001396782696,0
5,2,classic_lp,1,6.250003934837878,0
5,2,classic_lp,1,7.791997632011771,0
5,2,classic_lp,1,6.207999831531197,0
5,2,classic_lp,1,6.7920045694336295,0
5,2,classic_lp,1,6.041998858563602,0
5,2,classic_lp,1,6.708003638777882,0
5,2,classic_lp,1,6.041998858563602,0
5,2,classic_lp,1,6.750000466126949,0
5,2,classic_lp,1,6.375004886649549,0
5,2,classic_lp,1,6.1250029830262065,0
5,2,classic_lp,1,6.082998879719526,0
5,2,classic_lp,1,5.959002010058612,0
5,2,classic_lp,1,6.082998879719526,0
5,2,classic_lp,1,5.416994099505246,0
5,2,classic_lp,1,6.999995093792677,0
5,2,classic_lp,1,6.041002052370459,0
5,2,classic_lp,1,6.000002031214535,0
5,2,classic_lp,1,7.9169985838234425,0
5,2,classic_lp,1,8.916002116166055,0
5,2,classic_lp,1,6.7920045694336295,0
5,2,classic_lp,1,6.541005859617144,0
5,2,classic_lp,1,5.875001079402864,0
5,2,classic_lp,1,7.624999852851033,0
5,2,classic_lp,1,6.583002686966211,0
5,2,classic_lp,1,6.582995411008596,0
5,2,classic_lp,1,6.1250029830262065,0
5,2,classic_lp,1,5.707996024284512,0
5,2,classic_lp,1,5.6249991757795215,0
5,2,classic_lp,1,6.583999493159354,0
5,2,classic_lp,1,6.082998879719526,0
5,2,classic_lp,1,6.20899663772434,0
5,2,classic_lp,1,6.4589985413476825,0
5,2,classic_lp,1,5.791000148747116,0
5,2,classic_lp,1,6.750000466126949,0
5,2,classic_lp,1,5.7919969549402595,0
5,2,classic_lp,1,6.374997610691935,0
5,2,classic_lp,1,6.082998879719526,0
5,2,classic_lp,1,8.208997314795852,0
5,2,classic_lp,1,6.2920007621869445,0
5,2,classic_lp,1,6.834001396782696,0
5,2,classic_lp,1,6.458001735154539,0
5,2,classic_lp,1,7.000002369750291,0
5,2,classic_lp,1,6.290996680036187,0
5,2,classic_lp,1,6.415997631847858,0
5,2,classic_lp,1,5.792004230897874,0
5,2,classic_lp,1,6.375004886649549,0
